HGNC	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
HGNC:890	0.394375836	0.43768229	0.498343423	0.925253626	0.993524656	0.930065782	0.643324482	0.689726707	0.628660464	1.025182222	0.685007906	0.950973991	1.67990235	1.456699751	1.580792829
HGNC:87	20.92533745	20.12701962	24.63372005	26.856345	26.29782894	28.64491685	15.81002678	13.42000713	14.75031464	21.04043194	26.32735485	23.71384695	27.12540031	23.96630358	23.19297352
HGNC:89	2.777195033	2.530326471	2.83774983	18.52870755	19.66649802	24.17650526	4.514574584	4.866592893	3.497160588	5.208747795	3.422867724	7.008261614	10.18744782	4.263210181	7.931169677
HGNC:4801	19.13428324	19.6859343	21.94508943	65.66001069	66.94748787	70.44894791	55.82969767	37.02686818	44.45676383	38.71935076	27.67634328	36.35980137	71.41657793	33.46070476	34.73253548
HGNC:4803	25.63494437	24.09751437	27.85315546	27.5925427	28.98668046	30.29643731	25.79767654	23.00619289	21.75279082	21.276974	17.17557593	24.81347333	43.6517993	28.8619296	32.89004475
HGNC:3151	123.3876954	143.2221572	130.2168985	168.8187176	189.7531423	185.5150313	284.7891679	305.1836122	332.1407107	261.7964914	195.4415929	243.4756671	169.8331535	130.3894279	109.9536257
HGNC:4907	4.62934102	4.810414195	4.594383035	7.030806596	7.185519947	7.318335971	3.921336852	3.755968976	3.378003229	7.886478429	4.65650616	7.527850207	3.830462224	2.435018055	2.940076598
HGNC:407	18.40044091	17.74095016	24.60959074	117.7112941	130.1903333	130.4417092	88.99117221	64.9544698	69.27636568	20.26584008	24.01096634	22.0172988	185.8217619	86.47140639	78.28871933
HGNC:412	13.90883298	14.03735411	16.11092832	29.34256811	30.19943125	33.07920564	15.58827696	13.60233359	13.09059567	12.36607467	10.84482977	12.66419809	19.79058776	9.285206994	9.661961408
HGNC:877	20.91831605	22.95864196	23.7903169	28.45859634	29.93531809	28.70549171	15.39095505	17.31274908	16.10876429	20.62808199	17.54434828	19.91020205	26.64568031	28.21183304	29.18542427
HGNC:404	70.44877106	77.41084316	77.95469837	7.148774952	7.492551637	6.693831318	0.103694829	0.100017415	0.034045137	71.99764167	45.16275366	69.81144676	0.02823368	0.070266933	0.124221844
HGNC:403	20.26140065	16.73570148	18.49483652	59.07595477	60.01015235	65.32983125	33.77604332	29.01094424	30.06418146	15.41286688	10.62686825	15.22142457	50.07078811	32.12736382	35.84101138
HGNC:7179	8.615896267	7.142902598	8.041396691	6.078811303	5.988008576	5.916061088	22.72806255	17.34567679	15.98223472	4.463510846	2.80634627	6.171646432	1.189635368	0.917179639	1.674270789
HGNC:16732	8.690084515	9.131962385	8.019265808	1.739661932	1.96456192	2.066243435	2.77366156	3.901474695	3.711497573	7.475347682	4.199800439	6.925715092	4.364776763	3.007853119	3.650624986
HGNC:7526	7.069615353	5.97996917	7.120700492	11.85585278	10.71687808	12.85204518	14.86375185	11.89209024	12.28833474	5.11339032	3.514052039	5.44055134	6.532521314	3.834153801	5.734638468
